,Time,PTS,J,V,E,D,GP,GC,SG,CA,CV,%,UF,time_nome_completo,plantel,idade_media,estrangeiros,valor_mercado_MEuros,valor_medio
0,Flamengo,90,38,28,6,4,86,37,49,90,3,78, RJ,Clube de Regatas do Flamengo,45,23.8,7,104.75,2.327777777777778
1,Santos,74,38,22,8,8,60,33,27,110,12,64, SP,Santos FC,53,23.5,8,79.88,1.507169811320755
2,Palmeiras,74,38,21,11,6,61,32,29,78,5,64, SP,Sociedade Esportiva Palmeiras,48,26.2,4,134.55,2.803125
3,Grêmio,65,38,19,8,11,64,39,25,80,2,57, RS,Grêmio Foot-Ball Porto Alegrense,51,23.6,2,71.35,1.399019607843137
4,Athletico Paranaense,64,38,18,10,10,51,32,19,83,2,56, PR,Club Athletico Paranaense,51,22.8,6,35.3,0.692156862745098
5,São Paulo,63,38,17,12,9,39,30,9,87,7,55, SP,São Paulo Futebol Clube,58,22.6,4,75.2,1.296551724137931
6,Internacional,57,38,16,9,13,44,38,6,98,3,50, RS,Sport Club Internacional,47,24.7,8,57.7,1.227659574468085
7,Corinthians,56,38,14,14,10,42,34,8,72,2,49, SP,Sport Club Corinthians Paulista,52,23.7,5,65.7,1.263461538461538
8,Fortaleza,53,38,15,8,15,50,49,1,85,13,46, CE,Fortaleza Esporte Clube,42,26.2,4,22.65,0.5392857142857143
9,Goiás,52,38,15,7,16,46,64,-18,86,7,45, GO,Goiás Esporte Clube,51,23.5,2,21.8,0.4274509803921569
10,Bahia,49,38,12,13,13,44,43,1,65,6,42, BA,Esporte Clube Bahia,42,25.0,1,38.55,0.9178571428571428
11,Vasco da Gama,49,38,12,13,13,39,45,-6,105,5,42, RJ,Club de Regatas Vasco da Gama,52,23.7,4,38.05,0.7317307692307692
12,Atlético,48,38,13,9,16,44,49,-5,69,5,42, MG,Clube Atlético Mineiro,51,24.3,7,50.4,0.988235294117647
13,Fluminense,46,38,12,10,16,38,46,-8,87,12,40, RJ,Fluminense Football Club,56,23.1,2,35.45,0.6330357142857144
14,Botafogo,43,38,13,4,21,31,45,-14,94,3,37, RJ,Botafogo de Futebol e Regatas,44,23.5,3,30.95,0.7034090909090909
15,Ceará,39,38,10,9,19,36,41,-5,85,3,34, CE,Ceará Sporting Club,38,26.4,1,19.68,0.5178947368421053
16,Cruzeiro,36,38,7,15,16,27,46,-19,81,6,31, MG,Cruzeiro Esporte Clube,45,24.0,4,55.58,1.235111111111111
17,Csa,32,38,8,8,22,24,58,-34,90,4,28, AL,Centro Sportivo Alagoano (AL),52,26.7,8,25.58,0.4919230769230769
18,Chapecoense,32,38,7,11,20,31,52,-21,79,6,28, SC,Associação Chapecoense de Futebol,51,25.7,2,28.75,0.5637254901960784
19,Avaí,20,38,3,11,24,18,62,-44,79,10,17, SC,Avaí Futebol Clube (SC),48,24.5,3,12.25,0.2552083333333333
